id,src,dst,cas,time,pub_time,label,type,abs_time
2913,0,56031,490,0.0,0.0,-1,1,0.0
2914,0,0,490,0.0,0.0,-1,1,0.0
83947,0,49720,8651,0.0,0.0,-1,1,0.0
83948,49720,115977,8651,0.0,0.0,-1,1,0.0
83949,0,0,8651,0.0,0.0,-1,1,0.0
115557,0,64089,11658,0.0,0.0,-1,1,0.0
115558,0,0,11658,0.0,0.0,-1,1,0.0
124514,0,49720,12528,0.0,0.0,-1,1,0.0
124515,49720,115977,12528,0.0,0.0,-1,1,0.0
2346937,72510,131162,7225,1.9302199074074073,17.25142361111111,0,1,19.18164351851852
2368990,0,77902,14322,1.9755439814814815,17.20837962962963,-1,3,19.183923611111112
2368991,77902,34564,14322,1.9755439814814815,17.20837962962963,54,3,19.183923611111112
2277121,0,52545,4324,1.7831597222222222,17.402916666666666,-1,1,19.18607638888889
2302729,0,9476,4324,1.8372569444444444,17.402916666666666,-1,1,19.24017361111111
2350577,0,164678,224,1.9375462962962964,17.322708333333335,-1,2,19.260254629629628
2350578,164678,115627,224,1.9375462962962964,17.322708333333335,-1,2,19.260254629629628
2317042,0,178952,4324,1.8673958333333334,17.402916666666666,-1,1,19.2703125
2356717,0,113620,224,1.9501041666666667,17.322708333333335,8,2,19.2728125
2354257,0,24938,4324,1.9450925925925926,17.402916666666666,20,1,19.34800925925926
